Sample_Index,Cluster_Label
0,0
1,1
2,1
3,1
4,0
5,1
6,0
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,1
26,1
27,1
28,1
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,0
37,0
38,1
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,0
57,0
58,1
59,1
60,0
61,0
62,1
63,1
64,0
65,0
66,0
67,0
68,1
69,1
70,1
71,1
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,1
82,1
83,1
84,0
85,0
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,1
96,0
97,1
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,1
106,1
107,1
108,1
109,0
110,0
111,0
112,1
113,1
114,1
115,0
116,0
117,1
118,1
119,0
120,0
121,0
122,1
123,0
124,1
125,0
126,0
127,0
128,1
129,0
130,0
131,1
132,0
133,0
134,0
135,1
136,1
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,0
147,1
148,1
149,1
150,0
151,1
152,1
153,1
154,1
155,0
156,0
157,1
158,1
159,0
160,1
161,0
162,0
163,0
164,0
165,1
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,1
176,0
177,1
178,1
179,0
180,1
181,1
182,1
183,0
184,0
185,1
186,0
187,0
188,1
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,0
202,0
203,0
204,0
205,1
206,1
207,1
208,1
209,1
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,1
223,1
224,1
225,1
226,0
227,0
228,1
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,0
237,1
238,0
239,1
240,1
241,1
242,1
243,0
244,1
245,1
246,0
247,1
248,0
249,1
250,0
251,1
252,1
253,0
254,1
255,1
256,0
257,1
258,0
259,0
260,0
261,0
262,1
263,1
264,0
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,1
273,0
274,0
275,0
276,1
277,1
278,0
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,0
287,0
288,1
289,1
290,1
291,1
292,0
293,0
294,1
295,1
296,0
297,0
298,1
299,1
300,0
301,0
302,1
303,1
304,0
305,1
306,1
307,0
308,0
309,1
310,0
311,1
312,0
313,0
314,0
315,0
316,1
317,1
318,1
319,0
320,0
321,0
322,1
323,0
324,0
325,0
326,1
327,0
328,1
329,0
330,1
331,1
332,0
333,0
334,0
335,1
336,1
337,0
338,1
339,0
340,1
341,0
342,1
343,1
344,0
345,0
346,1
347,0
348,1
349,1
350,0
351,0
352,0
353,0
354,1
355,0
356,0
357,1
358,1
359,1
360,1
361,0
362,1
363,1
364,0
365,0
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,1
375,1
376,0
377,1
378,1
379,1
380,1
381,1
382,0
383,0
384,1
385,1
386,1
387,1
388,1
389,1
390,0
391,1
392,0
393,0
394,1
395,1
396,1
397,1
398,0
399,0
400,1
401,1
402,1
403,1
404,1
405,0
406,0
407,0
408,0
409,0
410,0
411,1
412,1
413,0
414,0
415,0
416,0
417,0
418,1
419,1
420,1
421,1
422,0
423,1
424,1
425,0
426,0
427,1
428,0
429,1
430,1
431,0
432,0
433,1
434,0
435,1
436,0
437,0
438,0
439,0
440,0
441,1
442,0
443,0
444,0
445,1
446,0
447,1
448,1
449,1
450,0
451,0
452,0
453,0
454,0
455,1
456,0
457,0
458,1
459,1
460,0
461,1
462,0
463,0
464,1
465,0
466,1
467,0
468,0
469,1
470,0
471,1
472,1
473,1
474,0
475,1
476,1
477,0
478,0
479,1
480,1
481,1
482,1
483,0
484,0
485,1
486,1
487,0
488,1
489,0
490,1
491,0
492,0
493,1
494,0
495,1
496,0
497,1
498,0
499,1
500,0
501,0
502,1
503,0
504,1
505,0
506,0
507,1
508,1
509,1
510,0
511,1
512,1
513,0
514,0
515,1
516,1
517,1
518,0
519,1
520,0
521,1
522,1
523,0
524,1
525,0
526,0
527,1
528,0
529,1
530,0
531,1
532,0
533,1
534,1
535,1
536,0
537,0
538,0
539,1
540,1
541,0
542,1
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,1
551,1
552,1
553,0
554,1
555,1
556,1
557,0
558,1
559,1
560,0
561,1
562,0
563,0
564,0
565,1
566,0
567,1
568,1
569,1
570,1
571,0
572,1
573,0
574,0
575,1
576,0
577,1
578,0
579,1
580,1
581,1
582,1
583,0
584,0
585,0
586,0
587,0
588,1
589,0
590,0
591,0
592,0
593,1
594,1
595,0
596,1
597,0
598,1
599,0
600,0
601,1
602,1
603,0
604,0
605,0
606,0
607,1
608,1
609,1
610,1
611,0
612,0
613,0
614,0
615,1
616,0
617,0
618,0
619,1
620,1
621,1
622,0
623,1
624,0
625,0
626,1
627,0
628,1
629,1
630,0
631,1
632,0
633,0
634,0
635,1
636,0
637,0
638,0
639,1
640,1
641,0
642,1
643,1
644,1
645,0
646,0
647,1
648,1
649,0
650,1
651,1
652,1
653,1
654,1
655,0
656,0
657,1
658,1
659,1
660,0
661,1
662,1
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,1
675,1
676,0
677,0
678,1
679,0
680,1
681,0
682,0
683,0
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,0
692,1
693,1
694,0
695,1
696,0
697,1
698,1
699,1
700,0
701,1
702,1
703,1
704,1
705,1
706,1
707,0
708,1
709,1
710,1
711,0
712,1
713,0
714,1
715,1
716,0
717,0
718,1
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,1
727,1
728,1
729,1
730,0
731,1
732,1
733,0
734,1
735,0
736,0
737,0
738,1
739,1
740,1
741,1
742,0
743,0
744,0
745,0
746,0
747,0
748,1
749,0
750,1
751,0
752,0
753,1
754,1
755,1
756,1
757,1
758,1
759,0
760,1
761,1
762,0
763,0
764,1
765,1
766,1
767,1
768,0
769,0
770,1
771,0
772,0
773,0
774,0
775,0
776,1
777,0
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,0
787,1
788,0
789,0
790,0
791,0
792,0
793,1
794,1
795,1
796,0
797,0
798,0
799,0
800,0
801,0
802,1
803,0
804,1
805,1
806,0
807,1
808,1
809,1
810,1
811,1
812,1
813,0
814,1
815,0
816,0
817,0
818,1
819,0
820,0
821,0
822,0
823,1
824,1
825,0
826,1
827,1
828,0
829,1
830,1
831,0
832,0
833,1
834,0
835,1
836,1
837,1
838,1
839,0
840,0
841,0
842,0
843,1
844,1
845,1
846,0
847,0
848,1
849,0
850,0
851,0
852,0
853,0
854,1
855,1
856,1
857,0
858,1
859,0
860,0
861,1
862,0
863,1
864,0
865,1
866,1
867,0
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,0
878,0
879,1
880,1
881,1
882,1
883,0
884,0
885,1
886,1
887,0
888,0
889,1
890,0
891,0
892,0
893,1
894,1
895,1
896,1
897,0
898,1
899,1
900,0
901,1
902,0
903,0
904,1
905,1
906,1
907,0
908,0
909,1
910,1
911,1
912,0
913,1
914,0
915,0
916,0
917,1
918,1
919,1
920,0
921,0
922,0
923,0
924,0
925,1
926,1
927,0
928,1
929,1
930,1
931,1
932,1
933,0
934,0
935,1
936,1
937,1
938,1
939,1
940,0
941,0
942,1
943,0
944,1
945,1
946,1
947,0
948,0
949,0
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,0
958,1
959,0
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,0
969,1
970,0
971,0
972,0
973,0
974,1
975,1
976,0
977,1
978,1
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,1
991,0
992,0
993,1
994,0
995,0
996,0
997,1
998,0
999,1
1000,0
1001,0
1002,0
1003,0
1004,0
1005,1
1006,0
1007,1
1008,1
1009,1
1010,1
1011,0
1012,1
1013,1
1014,1
1015,1
1016,0
1017,1
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,1
1031,0
1032,0
1033,1
1034,1
1035,1
1036,0
1037,1
1038,1
1039,0
1040,1
1041,0
1042,0
1043,0
1044,0
1045,0
1046,1
1047,0
1048,0
1049,1
1050,0
1051,1
1052,0
1053,0
1054,0
1055,0
1056,1
1057,1
1058,1
