Sample_Index,Cluster_Label
0,1
1,0
2,0
3,0
4,1
5,0
6,1
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,1
20,1
21,1
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,1
31,1
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,1
52,1
53,0
54,0
55,0
56,1
57,1
58,0
59,0
60,1
61,1
62,0
63,0
64,1
65,1
66,1
67,1
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,1
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,1
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,1
105,0
106,0
107,0
108,0
109,1
110,1
111,1
112,0
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,1
122,0
123,1
124,0
125,1
126,1
127,1
128,0
129,1
130,1
131,0
132,1
133,1
134,1
135,0
136,0
137,1
138,0
139,1
140,0
141,1
142,1
143,0
144,1
145,0
146,1
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,1
156,1
157,0
158,0
159,1
160,0
161,0
162,1
163,1
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,1
177,0
178,0
179,1
180,0
181,0
182,0
183,1
184,1
185,0
186,1
187,1
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,1
203,1
204,1
205,0
206,0
207,0
208,0
209,0
210,1
211,1
212,0
213,1
214,1
215,1
216,1
217,1
218,1
219,0
220,1
221,1
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,0
230,0
231,0
232,1
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,1
247,0
248,1
249,0
250,1
251,0
252,0
253,1
254,0
255,0
256,1
257,0
258,1
259,0
260,1
261,1
262,0
263,0
264,1
265,0
266,1
267,0
268,0
269,0
270,0
271,0
272,0
273,1
274,1
275,1
276,0
277,0
278,1
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,1
287,1
288,0
289,0
290,0
291,0
292,1
293,1
294,0
295,0
296,1
297,1
298,0
299,0
300,1
301,1
302,0
303,0
304,1
305,0
306,0
307,1
308,1
309,0
310,1
311,0
312,1
313,1
314,1
315,1
316,0
317,0
318,0
319,1
320,1
321,1
322,0
323,1
324,1
325,1
326,0
327,1
328,0
329,1
330,0
331,0
332,1
333,1
334,1
335,0
336,0
337,1
338,0
339,1
340,0
341,1
342,0
343,0
344,1
345,1
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,1
354,0
355,1
356,1
357,0
358,0
359,0
360,0
361,1
362,0
363,0
364,1
365,1
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,0
374,0
375,0
376,1
377,0
378,0
379,0
380,0
381,0
382,1
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,1
391,0
392,1
393,1
394,0
395,0
396,0
397,0
398,1
399,1
400,0
401,0
402,0
403,0
404,0
405,1
406,1
407,1
408,1
409,1
410,1
411,0
412,0
413,1
414,1
415,1
416,0
417,1
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,1
426,1
427,0
428,1
429,0
430,0
431,1
432,1
433,0
434,1
435,0
436,1
437,0
438,1
439,1
440,1
441,0
442,1
443,1
444,1
445,0
446,1
447,0
448,0
449,0
450,1
451,1
452,1
453,1
454,1
455,0
456,1
457,1
458,0
459,0
460,1
461,0
462,1
463,1
464,0
465,1
466,0
467,1
468,1
469,0
470,1
471,0
472,0
473,0
474,1
475,0
476,0
477,1
478,1
479,0
480,0
481,0
482,0
483,1
484,1
485,0
486,0
487,1
488,0
489,1
490,0
491,1
492,1
493,0
494,1
495,0
496,1
497,0
498,1
499,0
500,1
501,1
502,0
503,1
504,0
505,0
506,1
507,0
508,0
509,0
510,1
511,0
512,0
513,1
514,1
515,0
516,0
517,0
518,1
519,0
520,1
521,0
522,0
523,1
524,0
525,1
526,1
527,0
528,1
529,0
530,1
531,0
532,1
533,0
534,0
535,0
536,1
537,1
538,1
539,0
540,0
541,1
542,0
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,0
551,0
552,0
553,1
554,0
555,0
556,0
557,1
558,0
559,0
560,1
561,0
562,1
563,1
564,1
565,0
566,1
567,0
568,0
569,0
570,0
571,1
572,0
573,1
574,1
575,0
576,1
577,0
578,1
579,0
580,0
581,0
582,0
583,1
584,1
585,1
586,1
587,1
588,0
589,1
590,1
591,1
592,1
593,0
594,0
595,1
596,0
597,1
598,0
599,1
600,0
601,0
602,0
603,0
604,1
605,1
606,1
607,0
608,0
609,0
610,0
611,0
612,1
613,1
614,1
615,0
616,1
617,1
618,1
619,0
620,0
621,0
622,1
623,0
624,1
625,1
626,0
627,1
628,0
629,0
630,1
631,0
632,1
633,1
634,1
635,0
636,1
637,1
638,1
639,0
640,0
641,1
642,0
643,0
644,0
645,1
646,1
647,0
648,0
649,1
650,0
651,0
652,0
653,0
654,0
655,1
656,1
657,0
658,0
659,0
660,1
661,0
662,0
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,0
675,0
676,1
677,1
678,0
679,1
680,0
681,0
682,1
683,1
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,1
692,0
693,0
694,1
695,0
696,1
697,0
698,0
699,0
700,1
701,0
702,0
703,0
704,0
705,0
706,0
707,1
708,0
709,0
710,0
711,1
712,0
713,1
714,0
715,0
716,1
717,1
718,0
719,1
720,1
721,1
722,1
723,0
724,1
725,1
726,0
727,0
728,0
729,0
730,1
731,0
732,0
733,1
734,0
735,1
736,1
737,1
738,0
739,0
740,0
741,0
742,1
743,1
744,1
745,1
746,1
747,1
748,0
749,1
750,0
751,1
752,1
753,0
754,0
755,0
756,0
757,0
758,0
759,1
760,0
761,0
762,1
763,1
764,0
765,0
766,0
767,0
768,1
769,1
770,0
771,1
772,1
773,1
774,1
775,1
776,0
777,1
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,1
787,0
788,1
789,1
790,1
791,1
792,1
793,0
794,0
795,0
796,1
797,1
798,1
799,1
800,0
801,1
802,0
803,1
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,1
814,0
815,1
816,1
817,1
818,0
819,1
820,1
821,1
822,1
823,0
824,0
825,1
826,0
827,0
828,1
829,0
830,0
831,1
832,0
833,0
834,1
835,0
836,0
837,0
838,0
839,1
840,1
841,1
842,1
843,0
844,0
845,0
846,1
847,1
848,0
849,1
850,1
851,1
852,1
853,1
854,0
855,0
856,0
857,1
858,0
859,1
860,1
861,0
862,1
863,0
864,1
865,0
866,0
867,1
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,1
878,1
879,0
880,0
881,0
882,0
883,1
884,1
885,0
886,0
887,0
888,1
889,0
890,1
891,1
892,1
893,0
894,0
895,0
896,0
897,1
898,0
899,0
900,1
901,0
902,1
903,1
904,0
905,0
906,0
907,1
908,1
909,0
910,0
911,0
912,1
913,0
914,1
915,1
916,1
917,0
918,0
919,0
920,1
921,1
922,1
923,1
924,0
925,0
926,0
927,1
928,0
929,0
930,0
931,0
932,0
933,1
934,1
935,0
936,0
937,0
938,0
939,0
940,1
941,1
942,0
943,1
944,0
945,0
946,0
947,1
948,1
949,1
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,1
958,0
959,1
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,1
969,0
970,1
971,1
972,1
973,0
974,0
975,0
976,1
977,0
978,0
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,0
991,1
992,1
993,0
994,1
995,1
996,1
997,0
998,1
999,0
1000,1
1001,1
1002,1
1003,1
1004,1
1005,0
1006,1
1007,0
1008,0
1009,0
1010,0
1011,1
1012,0
1013,0
1014,0
1015,0
1016,1
1017,0
1018,1
1019,1
1020,0
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,0
1031,0
1032,1
1033,0
1034,0
1035,0
1036,1
1037,0
1038,0
1039,1
1040,0
1041,1
1042,1
1043,1
1044,1
1045,1
1046,0
1047,1
1048,1
1049,0
1050,1
1051,0
1052,1
1053,1
1054,1
1055,1
1056,0
1057,0
1058,0
1059,1
1060,0
1061,0
1062,0
1063,0
1064,1
1065,0
1066,1
1067,0
1068,1
1069,1
1070,1
1071,0
1072,0
1073,1
1074,1
1075,0
1076,0
1077,1
1078,0
1079,1
1080,0
1081,0
1082,1
1083,1
1084,1
1085,1
1086,0
1087,0
1088,0
1089,1
1090,1
1091,1
1092,0
1093,0
1094,0
1095,1
1096,0
1097,0
1098,1
1099,0
1100,0
1101,0
1102,1
1103,0
1104,0
1105,1
1106,1
1107,0
1108,1
1109,0
1110,1
1111,0
1112,1
1113,0
1114,1
1115,0
1116,1
1117,1
1118,1
1119,1
1120,0
1121,1
1122,0
1123,0
1124,0
1125,1
1126,1
1127,1
1128,1
1129,0
1130,0
1131,0
1132,0
1133,0
1134,1
1135,0
1136,0
1137,0
1138,1
1139,1
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,1
1148,0
1149,0
1150,1
1151,0
1152,0
1153,1
1154,1
1155,1
1156,1
1157,0
1158,0
1159,1
1160,0
1161,1
1162,1
1163,0
1164,0
1165,0
1166,1
1167,1
1168,0
1169,1
1170,1
1171,1
1172,1
1173,1
1174,0
1175,0
1176,1
1177,1
1178,0
1179,0
1180,1
1181,1
1182,1
1183,1
1184,1
1185,1
1186,1
1187,0
1188,0
1189,0
1190,1
1191,1
1192,0
1193,0
1194,1
1195,1
1196,0
1197,1
1198,0
1199,0
1200,1
1201,1
1202,1
1203,0
1204,0
1205,0
1206,0
1207,1
1208,0
1209,0
1210,1
1211,1
1212,0
1213,1
1214,1
1215,1
1216,1
1217,0
1218,0
1219,0
1220,0
1221,0
1222,1
1223,1
1224,1
1225,0
1226,1
1227,1
1228,0
