True,Predicted,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16
W,W,0.4,0.5333333333333333,0.4,0.4,0.26666666666666666,0.3333333333333333,0.7333333333333333,0.2,0.2,0.6,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.7333333333333333,0.13333333333333333,0.4
B,B,0.3333333333333333,0.6666666666666666,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.6,0.4,0.26666666666666666,0.4,0.6,0.3333333333333333,0.4666666666666667,0.13333333333333333,0.5333333333333333,0.4,0.6666666666666666
X,X,0.2,0.5333333333333333,0.26666666666666666,0.4,0.2,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.4,0.5333333333333333,0.2,0.5333333333333333,0.26666666666666666,0.5333333333333333
W,W,0.13333333333333333,0.0,0.2,0.06666666666666667,0.06666666666666667,0.4666666666666667,0.5333333333333333,0.26666666666666666,0.0,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.6,0.0,0.5333333333333333
M,M,0.5333333333333333,0.6,0.7333333333333333,0.5333333333333333,0.8,0.4666666666666667,0.6,0.26666666666666666,0.26666666666666666,0.4666666666666667,0.3333333333333333,0.5333333333333333,0.8,0.4,0.4,0.4666666666666667
Y,Y,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.7333333333333333,0.13333333333333333,0.4666666666666667,0.7333333333333333,0.6666666666666666,0.4,0.06666666666666667,0.7333333333333333,0.13333333333333333,0.3333333333333333
D,D,0.2,0.3333333333333333,0.26666666666666666,0.4666666666666667,0.13333333333333333,0.3333333333333333,0.4,0.7333333333333333,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.5333333333333333,0.26666666666666666,0.5333333333333333
V,V,0.6,0.8666666666666667,0.6,0.4666666666666667,0.26666666666666666,0.4,0.6666666666666666,0.26666666666666666,0.2,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.2,0.6
N,N,0.13333333333333333,0.06666666666666667,0.2,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.26666666666666666,0.4666666666666667,0.4666666666666667,0.4,0.3333333333333333,0.6,0.13333333333333333,0.4
L,L,0.13333333333333333,0.4666666666666667,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.4,0.26666666666666666,0.2,0.5333333333333333,0.4,0.06666666666666667,0.4666666666666667,0.06666666666666667,0.4,0.13333333333333333,0.4666666666666667
Y,Y,0.4,0.7333333333333333,0.6,0.5333333333333333,0.3333333333333333,0.6,0.6666666666666666,0.0,0.5333333333333333,0.26666666666666666,0.7333333333333333,0.4666666666666667,0.06666666666666667,0.6666666666666666,0.13333333333333333,0.6
M,M,0.26666666666666666,0.4,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.5333333333333333,0.4666666666666667,0.8,0.06666666666666667,0.4,0.6,0.5333333333333333,0.5333333333333333,0.4,0.0,0.5333333333333333
D,D,0.26666666666666666,0.5333333333333333,0.4,0.4,0.3333333333333333,0.4666666666666667,0.5333333333333333,0.4,0.3333333333333333,0.6666666666666666,0.4,0.3333333333333333,0.3333333333333333,0.6,0.3333333333333333,0.6666666666666666
O,O,0.26666666666666666,0.5333333333333333,0.4,0.4,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.26666666666666666,0.4666666666666667,0.4666666666666667,0.6,0.2,0.5333333333333333,0.2,0.4666666666666667
A,A,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.0,0.4666666666666667,0.13333333333333333,0.5333333333333333,0.06666666666666667,0.4,0.06666666666666667,0.5333333333333333
K,K,0.7333333333333333,0.9333333333333333,0.6666666666666666,0.5333333333333333,0.26666666666666666,0.4,0.5333333333333333,0.2,0.4666666666666667,0.6,0.5333333333333333,0.6666666666666666,0.4,0.5333333333333333,0.26666666666666666,0.4
